"","x","y","t","date_time","year"
"248",660998.070275327,5874442.61003408,1369931529,2013-05-30 12:32:09,"2013"
"249",661004.086907506,5874513.35593888,1369935114,2013-05-30 13:31:54,"2013"
"250",661026.648051054,5874529.30866657,1369936921,2013-05-30 14:02:01,"2013"
"251",661020.307809247,5874554.97178007,1369938728,2013-05-30 14:32:08,"2013"
"252",661020.566578498,5874556.07156489,1369940517,2013-05-30 15:01:57,"2013"
"253",660995.000225221,5874498.63348136,1369942328,2013-05-30 15:32:08,"2013"
"254",661080.133893857,5876326.51719199,1369945928,2013-05-30 16:32:08,"2013"
"255",661254.710905287,5875734.24922056,1369949526,2013-05-30 17:32:06,"2013"
"256",661255.848672696,5875737.57188989,1369951315,2013-05-30 18:01:55,"2013"
"257",661257.011496264,5875734.33747857,1369953113,2013-05-30 18:31:53,"2013"
"258",661270.370915033,5875727.68186821,1369954915,2013-05-30 19:01:55,"2013"
"259",661273.263478783,5875719.12773394,1369956716,2013-05-30 19:31:56,"2013"
"260",661284.661849804,5875733.70574402,1369958538,2013-05-30 20:02:18,"2013"
"261",661282.066847822,5875732.9840978,1369960365,2013-05-30 20:32:45,"2013"
"262",661273.874972512,5875724.3255424,1369962188,2013-05-30 21:03:08,"2013"
"263",661272.660405547,5875723.09348425,1369963988,2013-05-30 21:33:08,"2013"
"264",661265.430639921,5875723.59707527,1369965797,2013-05-30 22:03:17,"2013"
"265",661282.061183749,5875736.95874392,1369967590,2013-05-30 22:33:10,"2013"
"266",661087.996344029,5876337.76978131,1369971195,2013-05-30 23:33:15,"2013"
"267",662324.370319107,5876644.05572263,1369974849,2013-05-31 00:34:09,"2013"
"268",662343.694173246,5876630.36727477,1369976643,2013-05-31 01:04:03,"2013"
"269",662332.478631719,5876637.78255562,1369978449,2013-05-31 01:34:09,"2013"
"270",662338.239478828,5876635.80587171,1369980240,2013-05-31 02:04:00,"2013"
"271",662336.984383544,5876639.17054917,1369982031,2013-05-31 02:33:51,"2013"
"272",662691.535465245,5876445.92737904,1369985631,2013-05-31 03:33:51,"2013"
"273",662799.539943881,5876477.09495239,1369989264,2013-05-31 04:34:24,"2013"
"274",661005.188225244,5874552.51743724,1369992569,2013-05-31 05:29:29,"2013"
"275",661192.577488719,5873922.99765715,1369994409,2013-05-31 06:00:09,"2013"
"276",661113.840311456,5875618.30044586,1369998030,2013-05-31 07:00:30,"2013"
"277",663970.76574713,5867364.91803697,1370000206,2013-05-31 07:36:46,"2013"
"278",664235.040234613,5866983.4226381,1370003438,2013-05-31 08:30:38,"2013"
"279",664234.898060185,5866983.25078517,1370004334,2013-05-31 08:45:34,"2013"
"280",664381.776488246,5867014.54137498,1370008861,2013-05-31 10:01:01,"2013"
"281",664401.149619107,5867008.75487912,1370010636,2013-05-31 10:30:36,"2013"
"282",664355.845455934,5867019.67027508,1370012413,2013-05-31 11:00:13,"2013"
"283",663092.829627604,5866697.99665313,1370016878,2013-05-31 12:14:38,"2013"
"284",663098.091576254,5866707.14856355,1370018924,2013-05-31 12:48:44,"2013"
"285",663849.604589446,5867619.37982113,1370021643,2013-05-31 13:34:03,"2013"
"286",663717.588897526,5868075.81608595,1370025964,2013-05-31 14:46:04,"2013"
"287",663722.300733718,5868074.3393392,1370026858,2013-05-31 15:00:58,"2013"
"288",663715.332454324,5868070.75138962,1370027754,2013-05-31 15:15:54,"2013"
"289",663987.749169122,5867343.08237696,1370029564,2013-05-31 15:46:04,"2013"
"290",663990.712348101,5867344.97571828,1370031368,2013-05-31 16:16:08,"2013"
"291",663997.37601123,5867341.91770551,1370033177,2013-05-31 16:46:17,"2013"
"292",663970.49458016,5867366.95750151,1370036779,2013-05-31 17:46:19,"2013"
"293",664002.104639591,5867333.63879683,1370038568,2013-05-31 18:16:08,"2013"
"294",663998.660182541,5867334.42354903,1370040379,2013-05-31 18:46:19,"2013"
"295",663996.699640287,5867332.92058524,1370042245,2013-05-31 19:17:25,"2013"
"296",663986.689889587,5867335.45287514,1370044052,2013-05-31 19:47:32,"2013"
"297",663997.915917639,5867331.38088962,1370045888,2013-05-31 20:18:08,"2013"
"298",663999.272351423,5867333.83198484,1370047687,2013-05-31 20:48:07,"2013"
"299",663997.47049789,5867331.42141605,1370049545,2013-05-31 21:19:05,"2013"
"300",663999.188512413,5867334.31903681,1370051354,2013-05-31 21:49:14,"2013"
"301",664003.007903798,5867334.18167968,1370053187,2013-05-31 22:19:47,"2013"
"302",663971.235662774,5867362.5735728,1370055032,2013-05-31 22:50:32,"2013"
"303",663964.811900856,5867367.8777376,1370056823,2013-05-31 23:20:23,"2013"
"304",663850.575991327,5867626.72795172,1370060023.5,2013-06-01 00:13:43,"2013"
"305",663881.352673403,5867609.64724009,1370067046,2013-06-01 02:10:46,"2013"
"306",663725.76590242,5866940.48039024,1370074538,2013-06-01 04:15:38,"2013"
"307",663849.31934884,5867651.73706596,1370078132,2013-06-01 05:15:32,"2013"
"308",663890.864707123,5867760.91603296,1370081716,2013-06-01 06:15:16,"2013"
"309",663812.469963837,5867911.48059002,1370085315,2013-06-01 07:15:15,"2013"
"310",663061.68135279,5866689.47284021,1370092627,2013-06-01 09:17:07,"2013"
"311",663104.670853628,5866704.9994447,1370094421,2013-06-01 09:47:01,"2013"
"312",663214.402177993,5866531.35641946,1370098082,2013-06-01 10:48:02,"2013"
"313",663213.900250106,5866528.68953932,1370099892,2013-06-01 11:18:12,"2013"
"314",663946.944198706,5867366.64686992,1370104577,2013-06-01 12:36:17,"2013"
"315",663969.527157725,5867592.12389307,1370106387,2013-06-01 13:06:27,"2013"
"316",664007.662829108,5867583.60024378,1370107729,2013-06-01 13:28:49,"2013"
"317",664027.444394286,5867560.87450362,1370109522,2013-06-01 13:58:42,"2013"
"318",664001.117651999,5867547.47001303,1370110899,2013-06-01 14:21:39,"2013"
"319",663988.8348289,5867561.07027095,1370111792,2013-06-01 14:36:32,"2013"
"320",663969.488632176,5867388.43447448,1370114497,2013-06-01 15:21:37,"2013"
"321",663975.145270633,5867365.32300568,1370115393,2013-06-01 15:36:33,"2013"
"322",661870.227412687,5865809.24429178,1370120828,2013-06-01 17:07:08,"2013"
"323",661888.98772954,5865803.09307709,1370122640,2013-06-01 17:37:20,"2013"
"324",661884.314798543,5865806.57709125,1370124430,2013-06-01 18:07:10,"2013"
"325",661883.585428727,5865806.25201008,1370126225,2013-06-01 18:37:05,"2013"
"326",661878.250249394,5865806.40705857,1370128040,2013-06-01 19:07:20,"2013"
"327",661881.978096324,5865806.82158798,1370129848,2013-06-01 19:37:28,"2013"
"328",661883.398437658,5865809.41888717,1370131676,2013-06-01 20:07:56,"2013"
"329",661884.881695375,5865806.32889549,1370133470,2013-06-01 20:37:50,"2013"
"330",661882.510747907,5865809.80106221,1370135283,2013-06-01 21:08:03,"2013"
"331",661881.926564103,5865806.95346563,1370137088,2013-06-01 21:38:08,"2013"
"332",661882.737381487,5865808.2610583,1370138877,2013-06-01 22:07:57,"2013"
"333",661868.050820101,5865806.72183523,1370140696,2013-06-01 22:38:16,"2013"
"334",663116.616804473,5866714.27714964,1370146148,2013-06-02 00:09:08,"2013"
"335",664091.002735054,5867530.34099116,1370151558,2013-06-02 01:39:18,"2013"
"336",664070.424132194,5867544.93925575,1370153403,2013-06-02 02:10:03,"2013"
"337",664064.579320881,5867549.83987912,1370155195,2013-06-02 02:39:55,"2013"
"338",664074.957643571,5867565.33538431,1370160717,2013-06-02 04:11:57,"2013"
